"Author","References","Anmerkungen","DOB","DOD","POB","alife","gender"
"Richard Hiepe",,,1930,1998,"Eur",0,"k. D."
"Jutta Held ",,,1933,2007,"Eur",0,"Frau"
"Norbert Schneider ",,,1945,2019,"Eur",0,"Mann"
"Werner Marschall  ",,,1927,2021,"Eur",0,"Mann"
"Anselm Kiefer ",,,1945,2024,"Eur",1,"Mann"
" W.F. Haug",,,1936,2024,"Eur",1,"Mann"
"Wim Wenders",,,1945,2024,"Eur",1,"Mann"
"Berthold Hinz",,,1941,2024,"Eur",1,"Mann"
"Joseph Beuys",,,1921,1986,"Eur",0,"Mann"
"Walter Benjamin",3,,1892,1840,"Eur",0,"Mann"
"Gabriele Sprigath",,,1940,2024,"Eur",1,"Frau"
"Peter H. Feist",,,1928,2015,"Eur",0,"Mann"
"Harald Olbrich",3,,1936,2024,"Eur",1,"k. D."
"Horst Zimmermann",,,1930,2024,"Eur",1,"k. D."
"Willy Sitte",,,1921,2013,"Eur",0,"k. D."
"Eberhard Bartke",,,1926,1990,"Eur",0,"Mann"
"Ernst Ullmann",,,1928,2008,"Eur",0,"Mann"
"Helga Möbius",,,1935,2024,"Eur",1,"k.D."
"Friedrich Möbius",,,1928,2024,"Eur",1,"Mann"
"Günter Feist",,,1929,2014,"Eur",0,"k. D."
"Ernst Badstübner",,,1931,2024,"Eur",1,"Mann"
"Martin Warnke",,,1937,2019,"SAm",0,"Mann"
"Christof Baier",,,1969,2024,"Eur",1,"k. D."
"Katja Bernhardt",,"(selbst)",,,,1,"k. D."
"Sigrid Brandt",,,1968,2024,"Eur",1,"k. D."
"Ulrike Goeschen",,,1961,2024,,1,"k. D."
"Uwe Hartmann",,,1959,2024,"Eur",1,"k. D."
"Oliver Sukrow",,,,,,,"k. D."
"Tobias Zervose",,,,,,,"k. D."
"Hildrud Ebert",,,1950,2024,"Eur",1,"k. D."
"Helga Sciurie",,,1940,2024,,1,"k. D."
"Jan Białostocki",,,1921,1988,"Eur",0,"Mann"
"Lu Märten",2,,1879,1970,"Eur",0,"Frau"
"Benjamin Buchloh",,,1941,2024,"Eur",1,"Mann"
"TC Boyle",,,1948,2024,"NAm",1,"Mann"
"TJ Clark",3,,1943,2024,"Eur",1,"Mann"
"Johan Hartle",,,1976,2024,"Eur",1,"Mann"
"Peter Weiß",,,1916,1982,"Eur",0,"Mann"
"Karl Marx",2,,1818,1883,"Eur",0,"Mann"
"Thomas MacEvilley",,,1939,2913,"NAm",0,"k. D."
"Louis Althusser",,,1918,1990,"Afrika (Col)",0,"Mann"
"Mikhael Lifshitz",,,1905,1983,"Eur",0,"k. D."
"Tony Blair",,,1953,2024,"Eur",1,"Mann"
"Mário Pedrosa",,,1900,1981,"SAm",0,"Mann"
"Diego Rivera",,,1886,1957,"NAm(Lat)",0,"Mann"
"Paulo Freire  ",,,1921,1997,"SAm",0,"Mann"
"Michel Foucault",,,1926,1984,"Eur",0,"Mann"
"Toni Bennett",,,1926,2023,"NAm",0,"k. D."
"Andrea Fraser",,,1965,2024,"NAm",1,"Frau"
"Hans Haacke",,,1936,2024,"Eur",1,"Mann"
"Daniel Buren",,,1938,2024,"Eur",1,"Mann"
"Cedric Robinson",,,1940,2016,"NAm",0,"Mann"
"Neo Rauch",,"(Werk)",1960,2024,"Eur",1,"Mann"
"Adolph Menze",,"(Werk)",1815,1905,"Eur",0,"Mann"
"Caspar David Friedrich",,"(Werk)",1775,1840,"Eur",0,"Mann"
"Nicole Eisenman",,"(Werk)",1965,2024,"Eur",1,"Frau"
"John Cassidy",,"(Werk)",1860,1939,"Eur",0,"k. D."
"Marc Quinn",,"(Werk)",1964,2024,"Eur",1,"Mann"
"Willibald Sauerländer",,,1924,2018,"Eur",0,"Mann"
"Georg Baselitz",,"(Werk)",1938,2024,"Eur",1,"Mann"
"Gerhard Hoehme",,"(Werk)",1920,1989,"Eur",0,"Mann"
"Thomas Bayrle ",,"(Werk)",1937,2024,"Eur",1,"Mann"
"Martin
Kippenberger",,"(Werk)",1953,1997,"Eur",0,"Mann"
"Arno Breker",,"(Werk)",1900,1991,"Eur",0,"Mann"
"Klaus Herding",,,1939,2018,"Eur",0,"Mann"
"Horst Bredekamp ",,,1947,2024,"Eur",1,"Mann"
